,states,x,y
0,Andhra Pradesh,-64.0,-112.0
1,Arunachal Pradesh,194.0,135.0
2,Assam,152.0,95.0
3,Bihar,50.0,79.0
4,Chhattisgarh,-9.0,5.0
5,Goa,-144.0,-106.0
6,Gujarat,-197.0,24.0
7,Haryana,-122.0,145.0
8,Himachal Pradesh,-93.0,197.0
9,Jharkhand,41.0,47.0
10,Karnataka,-124.0,-125.0
11,Kerala,-110.0,-211.0
12,Madhya Pradesh,-93.0,27.0
13,Maharashtra,-143.0,-38.0
14,Manipur,188.0,74.0
15,Meghalaya,136.0,81.0
16,Mizoram,172.0,47.0
17,Nagaland,199.0,97.0
18,Odisha,40.0,-16.0
19,Punjab,-122.0,178.0
20,Rajasthan,-163.0,93.0
21,Sikkim,90.0,122.0
22,Tamil Nadu,-78.0,-195.0
23,Telangana,-77.0,-61.0
24,Tripura,156.0,55.0
25,Uttar Pradesh,-45.0,100.0
26,Uttarakhand,-64.0,150.0
27,West Bengal,85.0,40.0
28,Andaman And Nicobar Islands,190.0,-142.0
29,Chandigarh,-94.0,169.0
30,Dadra And Nagar Haveli,-162.0,-16.0
31,Daman And Diu,-199.0,-6.0
32,Delhi,-89.0,135.0
33,Jammu And Kashmir,-143.0,233.0
34,Lakshadweep,-195.0,-142.0
35,Puducherry,-46.0,-171.0
36,Ladakh,-77.0,244.0
